source,label,window_id,compressibility_score
legit,0,0,1.9379407616361073
legit,0,1,1.9434229137199435
legit,0,2,2.139423076923077
legit,0,3,2.3159784560143626
legit,0,4,2.4333958724202627
legit,0,5,2.5324165029469548
legit,0,6,2.481624758220503
legit,0,7,2.70362473347548
legit,0,8,2.5470588235294116
legit,0,9,2.6427104722792607
legit,0,10,2.609406952965235
legit,0,11,2.605691056910569
legit,0,12,2.4990176817288803
legit,0,13,2.431261770244821
legit,0,14,2.6376518218623484
legit,0,15,2.464814814814815
legit,0,16,2.411552346570397
legit,0,17,2.3783783783783785
legit,0,18,2.3032928942807627
legit,0,19,2.3055555555555554
legit,0,20,2.3970588235294117
legit,0,21,2.4328358208955225
legit,0,22,2.4473684210526314
legit,0,23,2.4773584905660377
legit,0,24,2.418250950570342
legit,0,25,2.3970588235294117
legit,0,26,2.391866913123845
legit,0,27,2.5147347740667976
legit,0,28,2.4383301707779887
legit,0,29,2.478846153846154
legit,0,30,2.3644688644688645
legit,0,31,2.5284872298624754
legit,0,32,2.385046728971963
legit,0,33,2.4003690036900367
legit,0,34,2.292768959435626
legit,0,35,2.3150442477876108
legit,0,36,2.461977186311787
legit,0,37,2.4301470588235294
legit,0,38,2.474860335195531
legit,0,39,2.404850746268657
legit,0,40,2.4464609800362975
legit,0,41,2.378927911275416
legit,0,42,2.6311475409836067
legit,0,43,2.5442043222003927
legit,0,44,2.448473282442748
legit,0,45,2.5449101796407185
legit,0,46,2.3847549909255896
legit,0,47,2.381037567084079
legit,0,48,2.3905109489051095
legit,0,49,2.5153846153846153
legit,0,50,2.4452690166975883
legit,0,51,2.3917710196779964
legit,0,52,2.438888888888889
legit,0,53,2.5161290322580645
legit,0,54,2.401129943502825
legit,0,55,2.386861313868613
legit,0,56,2.561122244488978
legit,0,57,2.4508670520231215
legit,0,58,2.358455882352941
legit,0,59,2.4573055028463
legit,0,60,2.3045774647887325
legit,0,61,2.28719723183391
legit,0,62,2.389189189189189
legit,0,63,2.409982174688057
legit,0,64,2.396330275229358
legit,0,65,2.4773584905660377
legit,0,66,2.349911190053286
legit,0,67,2.3824057450628366
legit,0,68,2.3973634651600753
legit,0,69,2.2645051194539247
legit,0,70,2.337979094076655
legit,0,71,2.367021276595745
legit,0,72,2.3456140350877193
legit,0,73,2.2670068027210886
legit,0,74,2.368043087971275
legit,0,75,2.244186046511628
legit,0,76,2.3214920071047955
legit,0,77,2.5582329317269075
legit,0,78,2.5593561368209254
legit,0,79,2.499009900990099
legit,0,80,2.536290322580645
legit,0,81,2.5772357723577235
legit,0,82,2.685774946921444
legit,0,83,2.289048473967684
legit,0,84,2.3659889094269873
legit,0,85,2.6464435146443517
legit,0,86,2.458574181117534
legit,0,87,2.346014492753623
legit,0,88,2.3107142857142855
legit,0,89,2.350909090909091
legit,0,90,2.300174520069808
legit,0,91,2.450381679389313
legit,0,92,2.431985294117647
legit,0,93,2.4349442379182156
legit,0,94,2.418560606060606
legit,0,95,2.4960629921259843
legit,0,96,2.463654223968566
legit,0,97,2.284452296819788
legit,0,98,2.3345521023765996
legit,0,99,2.3435804701627485
test-normal,1,0,2.435114503816794
test-normal,1,1,2.4732824427480917
test-normal,1,2,2.4114713216957604
test-normal,1,3,2.4260204081632653
test-normal,1,4,2.437185929648241
test-normal,1,5,2.4869791666666665
test-normal,1,6,2.4122137404580153
test-normal,1,7,2.445012787723785
test-normal,1,8,2.432225063938619
test-normal,1,9,2.443609022556391
test-normal,1,10,2.5
test-normal,1,11,2.4568527918781724
test-normal,1,12,2.441919191919192
test-normal,1,13,2.4578005115089514
test-normal,1,14,2.475703324808184
test-normal,1,15,2.4974358974358974
test-normal,1,16,2.401002506265664
test-normal,1,17,2.3883248730964466
test-normal,1,18,2.4444444444444446
test-normal,1,19,2.443324937027708
test-normal,1,20,2.5064599483204133
test-normal,1,21,2.4444444444444446
test-normal,1,22,2.5
test-normal,1,23,2.4794871794871796
test-normal,1,24,2.4744897959183674
test-normal,1,25,2.430379746835443
test-normal,1,26,2.4529262086513994
test-normal,1,27,2.426065162907268
test-normal,1,28,2.476923076923077
test-normal,1,29,2.4524421593830334
test-normal,1,30,2.4575835475578405
test-normal,1,31,2.3925925925925924
test-normal,1,32,2.457070707070707
test-normal,1,33,2.4641025641025642
test-normal,1,34,2.4217171717171717
test-normal,1,35,2.457070707070707
test-normal,1,36,2.4447236180904524
test-normal,1,37,2.452685421994885
test-normal,1,38,2.4203980099502487
test-normal,1,39,2.4973958333333335
test-normal,1,40,2.3865336658354113
test-normal,1,41,2.457070707070707
test-normal,1,42,2.4642857142857144
test-normal,1,43,2.4260204081632653
test-normal,1,44,2.4716494845360826
test-normal,1,45,2.4948453608247423
test-normal,1,46,2.4444444444444446
test-normal,1,47,2.4680306905370846
test-normal,1,48,2.4166666666666665
test-normal,1,49,2.4973958333333335
test-normal,1,50,2.4444444444444446
test-normal,1,51,2.4704370179948585
test-normal,1,52,2.4170854271356785
test-normal,1,53,2.5238095238095237
test-normal,1,54,2.4629156010230178
test-normal,1,55,2.431122448979592
test-normal,1,56,2.446700507614213
test-normal,1,57,2.4948979591836733
test-normal,1,58,2.391959798994975
test-normal,1,59,2.479381443298969
test-normal,1,60,2.4358974358974357
test-normal,1,61,2.41
test-normal,1,62,2.4427480916030535
test-normal,1,63,2.5170603674540684
test-normal,1,64,2.4170854271356785
test-normal,1,65,2.415422885572139
test-normal,1,66,2.4346733668341707
test-normal,1,67,2.461139896373057
test-normal,1,68,2.42643391521197
test-normal,1,69,2.411027568922306
test-normal,1,70,2.4160401002506267
test-normal,1,71,2.4358974358974357
test-normal,1,72,2.4464285714285716
test-normal,1,73,2.4441624365482233
test-normal,1,74,2.466666666666667
test-normal,1,75,2.501291989664083
test-normal,1,76,2.4064837905236907
test-normal,1,77,2.4728682170542635
test-normal,1,78,2.430379746835443
test-normal,1,79,2.4347826086956523
test-normal,1,80,2.380952380952381
test-normal,1,81,2.4668367346938775
test-normal,1,82,2.446700507614213
test-normal,1,83,2.4585492227979273
test-normal,1,84,2.4580152671755724
test-normal,1,85,2.433333333333333
test-normal,1,86,2.48586118251928
test-normal,1,87,2.437974683544304
test-normal,1,88,2.404040404040404
test-normal,1,89,2.4742268041237114
test-normal,1,90,2.466494845360825
test-normal,1,91,2.446969696969697
test-normal,1,92,2.484536082474227
test-normal,1,93,2.473007712082262
test-normal,1,94,2.475826972010178
test-normal,1,95,2.3964646464646466
test-normal,1,96,2.420654911838791
test-normal,1,97,2.461340206185567
test-normal,1,98,2.443324937027708
test-normal,1,99,2.3955223880597014
